Id,start_time,end_time,stage,score
7,2022-11-02 03:08,2022-11-02 04:11,REM,83
7,2022-11-02 04:11,2022-11-02 04:35,Light,83
7,2022-11-02 04:35,2022-11-02 04:36,Awake,83
7,2022-11-02 04:36,2022-11-02 04:47,Light,83
7,2022-11-02 04:47,2022-11-02 04:49,Awake,83
7,2022-11-02 04:49,2022-11-02 05:07,Light,83
7,2022-11-02 05:07,2022-11-02 05:38,REM,83
7,2022-11-02 05:38,2022-11-02 06:20,Light,83
7,2022-11-02 06:20,2022-11-02 06:22,Awake,83
7,2022-11-02 06:22,2022-11-02 06:32,Light,83
7,2022-11-02 06:32,2022-11-02 06:33,Awake,83
7,2022-11-02 06:33,2022-11-02 06:40,Light,83
7,2022-11-02 06:40,2022-11-02 06:44,REM,83
7,2022-11-02 06:44,2022-11-02 06:46,Awake,83
7,2022-11-02 06:46,2022-11-02 07:22,Light,83
7,2022-11-02 07:22,2022-11-02 07:23,REM,83
7,2022-11-02 07:23,2022-11-02 07:24,Awake,83
7,2022-11-02 07:24,2022-11-02 07:28,Light,83
7,2022-11-02 07:28,2022-11-02 07:29,REM,83
7,2022-11-02 07:29,2022-11-02 07:55,Awake,83
8,2022-11-03 01:27,2022-11-03 02:33,Light,69
8,2022-11-03 02:33,2022-11-03 02:34,Awake,69
8,2022-11-03 02:34,2022-11-03 02:38,Light,69
8,2022-11-03 02:38,2022-11-03 03:08,REM,69
8,2022-11-03 03:08,2022-11-03 03:51,Light,69
8,2022-11-03 03:51,2022-11-03 04:00,REM,69
8,2022-11-03 04:00,2022-11-03 04:09,Awake,69
8,2022-11-03 04:19,2022-11-03 04:30,Light,69
8,2022-11-03 04:30,2022-11-03 04:32,Awake,69
8,2022-11-03 04:32,2022-11-03 04:33,Light,69
8,2022-11-03 04:33,2022-11-03 04:34,Awake,69
8,2022-11-03 04:34,2022-11-03 05:08,Light,69
8,2022-11-03 05:08,2022-11-03 05:09,Awake,69
8,2022-11-03 05:09,2022-11-03 05:20,Light,69
8,2022-11-03 05:20,2022-11-03 05:24,Deep,69
8,2022-11-03 05:24,2022-11-03 05:28,Light,69
8,2022-11-03 05:28,2022-11-03 05:29,Awake,69
8,2022-11-03 05:29,2022-11-03 05:33,Light,69
8,2022-11-03 05:33,2022-11-03 05:35,Awake,69
8,2022-11-03 05:35,2022-11-03 05:43,Light,69
8,2022-11-03 05:43,2022-11-03 05:45,Awake,69
8,2022-11-03 05:45,2022-11-03 05:59,Light,69
8,2022-11-03 05:59,2022-11-03 06:26,Deep,69
8,2022-11-03 06:26,2022-11-03 06:34,Light,69
8,2022-11-03 06:34,2022-11-03 06:36,REM,69
8,2022-11-03 06:36,2022-11-03 06:38,Awake,69
8,2022-11-03 06:38,2022-11-03 06:39,Light,69
8,2022-11-03 06:39,2022-11-03 07:06,REM,69
8,2022-11-03 07:06,2022-11-03 07:08,Awake,69
8,2022-11-03 07:08,2022-11-03 07:13,REM,69
8,2022-11-03 07:13,2022-11-03 07:14,Awake,69
8,2022-11-03 07:14,2022-11-03 07:30,Light,69
8,2022-11-03 07:30,2022-11-03 07:31,Awake,69
8,2022-11-03 07:31,2022-11-03 08:08,Light,69
8,2022-11-03 08:08,2022-11-03 08:09,Awake,69
8,2022-11-03 08:09,2022-11-03 08:15,Light,69
8,2022-11-03 08:15,2022-11-03 08:17,Awake,69
8,2022-11-03 08:17,2022-11-03 08:21,Light,69
8,2022-11-03 08:21,2022-11-03 08:22,REM,69
8,2022-11-03 08:22,2022-11-03 08:23,Awake,69
8,2022-11-03 08:23,2022-11-03 08:24,REM,69
8,2022-11-03 08:24,2022-11-03 08:47,Awake,69
9,2022-11-03 23:58,2022-11-04 00:24,Light,77
9,2022-11-04 00:24,2022-11-04 00:25,Awake,77
9,2022-11-04 00:25,2022-11-04 00:35,Light,77
9,2022-11-04 00:35,2022-11-04 00:42,Deep,77
9,2022-11-04 00:42,2022-11-04 00:43,Awake,77
9,2022-11-04 00:43,2022-11-04 00:54,Light,77
9,2022-11-04 00:54,2022-11-04 00:58,REM,77
9,2022-11-04 00:58,2022-11-04 01:07,Light,77
9,2022-11-04 01:07,2022-11-04 01:12,REM,77
9,2022-11-04 01:12,2022-11-04 01:28,Light,77
9,2022-11-04 01:28,2022-11-04 01:57,Deep,77
9,2022-11-04 01:57,2022-11-04 01:58,Awake,77
9,2022-11-04 01:58,2022-11-04 02:37,Light,77
9,2022-11-04 02:37,2022-11-04 02:40,Deep,77
9,2022-11-04 02:40,2022-11-04 02:44,Light,77
